row,energy_gray,static_noise_gray,snr,consistency,in_chosen_band,in_incumbent_band
0,50.074,1.216,41.181,0.636,0,0
1,49.765,1.052,47.303,0.636,0,0
2,49.975,1.013,49.329,0.636,0,0
3,50.149,0.995,50.149,0.636,0,0
4,50.212,0.998,50.212,0.636,0,0
5,50.321,1.001,50.264,0.636,0,0
6,50.496,1.033,48.876,0.636,0,0
7,50.742,1.076,47.157,0.636,0,0
8,51.221,1.014,50.507,0.636,0,0
9,51.366,1.009,50.902,0.636,0,0
10,51.605,1.038,49.733,0.636,0,0
11,51.357,1.091,47.076,0.636,0,0
12,51.637,0.97,51.637,0.636,0,0
13,52.004,0.974,52.004,0.636,0,0
14,52.134,0.99,52.134,0.636,0,0
15,52.271,1.004,52.075,0.636,0,1
16,52.729,0.995,52.729,0.636,0,1
17,52.964,1.021,51.866,0.636,0,1
18,53.015,1.086,48.807,0.636,1,1
19,53.069,1.135,46.772,0.636,1,1
20,52.67,4.973,10.591,0.636,1,1
21,53.567,7.739,6.922,0.636,1,1
22,52.807,7.579,6.968,0.636,1,1
23,53.58,6.257,8.563,0.636,1,1
24,53.05,6.307,8.412,0.636,1,1
25,51.422,7.131,7.211,0.636,1,1
26,52.824,7.269,7.267,0.636,1,1
27,53.111,5.728,9.273,0.636,1,1
28,52.296,7.176,7.288,0.636,1,1
29,51.527,6.52,7.902,0.636,1,1
30,51.252,5.053,10.142,0.636,1,1
31,52.519,1.675,31.359,0.636,1,1
32,52.786,1.202,43.927,0.636,1,1
33,52.643,1.089,48.359,0.636,1,1
34,52.996,1.121,47.288,0.636,1,1
35,53.076,1.186,44.763,0.636,1,1
36,52.775,1.131,46.661,0.636,1,1
37,52.739,1.135,46.453,0.636,1,1
38,52.777,1.157,45.602,0.636,1,1
39,52.534,1.19,44.146,0.636,1,1
40,52.838,1.09,48.468,0.636,1,1
41,52.92,1.03,51.367,0.636,1,1
42,53.246,1.083,49.178,0.636,1,1
43,53.395,1.156,46.171,0.636,1,1
44,53.387,1.082,49.35,0.636,1,1
45,53.134,1.075,49.449,0.636,1,1
46,52.83,1.055,50.073,0.636,1,1
47,52.399,1.095,47.858,0.636,1,1
48,52.298,1.025,51.041,0.636,1,1
49,52.13,0.991,52.13,0.636,1,1
50,52.013,0.995,52.013,0.636,1,1
51,51.695,1.019,50.71,0.636,1,1
52,51.592,0.958,51.592,0.636,1,1
53,51.639,0.943,51.639,0.636,1,1
54,51.561,0.968,51.561,0.636,1,1
55,51.332,0.983,51.332,0.636,1,1
56,51.284,0.971,51.284,0.636,1,1
57,51.338,0.984,51.338,0.636,1,1
58,49.926,0.988,49.926,0.636,1,1
59,48.284,1.029,46.91,0.636,1,1
60,46.855,1.077,43.493,0.636,1,1
61,45.574,1.068,42.675,0.636,1,1
62,44.233,1.081,40.91,0.636,1,1
63,43.372,1.095,39.602,0.636,1,1
64,43.538,1.092,39.884,0.636,1,1
65,43.179,1.156,37.344,0.636,1,1
66,42.689,1.159,36.824,0.636,1,1
67,42.273,1.159,36.478,0.636,1,1
68,42.044,1.118,37.596,0.636,1,1
69,42.296,1.144,36.968,0.636,1,1
70,42.695,1.164,36.665,0.636,1,1
71,43.828,1.23,35.622,0.636,1,1
72,45.725,1.2,38.102,0.636,1,1
73,46.399,1.16,39.994,0.636,1,1
74,48.09,1.143,42.077,0.636,1,1
75,48.876,1.174,41.625,0.636,1,1
76,50.689,1.179,42.995,0.636,1,1
77,52.231,1.183,44.15,0.636,1,1
78,53.704,1.142,47.036,0.636,1,1
79,54.445,1.181,46.09,0.636,1,1
80,55.113,1.13,48.758,0.636,1,1
81,55.275,1.088,50.818,0.636,1,1
82,55.042,1.088,50.591,0.636,1,1
83,55.309,1.108,49.911,0.636,1,1
84,54.926,1.052,52.201,0.636,1,1
85,55.17,1.134,48.662,0.636,1,0
86,55.477,1.127,49.225,0.636,1,0
87,53.643,1.158,46.306,0.636,1,0
88,52.363,1.187,44.109,0.636,0,0
89,51.263,1.182,43.354,0.636,0,0
90,52.887,1.213,43.587,0.636,0,0
91,52.044,1.311,39.712,0.636,0,0
92,51.771,1.243,41.64,0.636,0,0
93,49.796,1.265,39.361,0.636,0,0
94,48.122,1.242,38.751,0.636,0,0
95,48.399,1.268,38.181,0.636,0,0
96,46.893,1.251,37.475,0.636,0,0
97,47.252,1.244,37.999,0.636,0,0
98,47.576,1.274,37.349,0.636,0,0
99,47.349,1.28,36.989,0.636,0,0
100,47.37,1.221,38.812,0.545,0,0
101,47.361,1.256,37.713,0.545,0,0
102,47.326,1.203,39.328,0.545,0,0
103,46.513,1.4,33.22,0.545,0,0
104,48.036,1.291,37.207,0.545,0,0
105,47.777,1.207,39.577,0.545,0,0
106,48.208,1.215,39.668,0.545,0,0
107,49.361,1.31,37.692,0.545,0,0
108,50.382,1.238,40.683,0.545,0,0
109,49.805,1.229,40.519,0.545,0,0
110,49.937,1.189,41.989,0.545,0,0
111,50.271,1.262,39.835,0.545,0,0
112,50.324,1.209,41.621,0.545,0,0
113,50.181,1.197,41.914,0.545,0,0
114,51.256,1.253,40.902,0.545,0,0
115,51.926,1.225,42.401,0.545,0,0
116,51.471,1.248,41.233,0.545,0,0
117,52.599,1.246,42.205,0.545,0,0
118,52.116,1.238,42.09,0.545,0,0
119,52.134,1.216,42.879,0.545,0,0
120,51.187,1.202,42.573,0.545,0,0
121,51.124,1.209,42.302,0.545,0,0
122,50.223,1.246,40.302,0.545,0,0
123,49.971,1.302,38.393,0.545,0,0
124,49.744,1.297,38.363,0.545,0,0
125,49.124,1.342,36.603,0.545,0,0
126,50.922,1.342,37.931,0.545,0,0
127,50.553,1.394,36.252,0.545,0,0
128,50.628,1.326,38.172,0.545,0,0
129,48.366,1.241,38.978,0.545,0,0
130,46.7,1.297,36.007,0.545,0,0
131,45.962,1.317,34.907,0.545,0,0
132,45.206,1.217,37.14,0.545,0,0
133,44.649,1.241,35.975,0.545,0,0
134,43.578,1.228,35.481,0.545,0,0
135,42.279,1.25,33.824,0.545,0,0
136,42.071,1.211,34.752,0.545,0,0
137,41.164,1.19,34.58,0.545,0,0
138,41.58,1.185,35.082,0.545,0,0
139,39.739,1.253,31.716,0.545,0,0
140,40.494,1.211,33.448,0.545,0,0
141,40.355,1.231,32.794,0.545,0,0
142,38.307,1.219,31.426,0.545,0,0
143,38.75,1.301,29.782,0.545,0,0
144,36.956,1.282,28.837,0.545,0,0
145,35.485,1.274,27.861,0.545,0,0
146,34.794,1.254,27.755,0.636,0,0
147,34.584,1.265,27.338,0.727,0,0
148,34.523,1.227,28.141,0.818,0,0
149,33.544,1.216,27.583,0.909,0,0
